iter	RMSE
0	1.172730005
1	1.131295968
2	1.097454708
3	1.061222579
4	1.027045418
5	0.9968010017
6	0.964930319
7	0.9369148075
8	0.9093369938
9	0.884217818
10	0.8602839154
11	0.8364721317
12	0.8152410466
13	0.7962157534
14	0.7770767998
15	0.7602779813
16	0.7431804139
17	0.7265858908
18	0.7130056418
19	0.6990188069
20	0.686171073
21	0.6743574775
22	0.6633099971
23	0.6538053133
24	0.6445196285
25	0.6363623263
26	0.6273120557
27	0.6194868911
28	0.6120129677
29	0.6052859407
30	0.598882277
31	0.5936690165
32	0.5879992151
33	0.5824872122
34	0.5771603192
35	0.5730631293
36	0.5687179917
37	0.5640329553
38	0.5596647361
39	0.5558551407
40	0.552595035
41	0.5494256619
42	0.5458631386
43	0.5426586404
44	0.5397919163
45	0.536851821
46	0.5346958069
47	0.5321308799
48	0.5299556889
49	0.5279729359
50	0.5260195821
51	0.5239931035
52	0.5219778723
53	0.5207565236
54	0.5191485543
55	0.5175880988
56	0.5161276787
57	0.514369132
58	0.5129961602
59	0.5120421756
60	0.5097637277
61	0.5083311549
62	0.5068213661
63	0.5056264664
64	0.5038021274
65	0.5024921949
66	0.5006899729
67	0.4998962713
68	0.4984030728
69	0.4975672454
70	0.4967749085
71	0.4960558065
72	0.4950166823
73	0.4933996974
74	0.4923650504
75	0.4915296092
76	0.4898590971
77	0.4881871159
78	0.4866698219
79	0.4855073897
80	0.4843274921
81	0.4835680496
82	0.4829018517
83	0.4818978706
84	0.4806328243
85	0.4795449089
86	0.4788309922
87	0.4781512287
88	0.4772207888
89	0.4761624408
90	0.4751552906
91	0.4743578052
92	0.4732650601
93	0.4723570968
94	0.4716466208
95	0.4710974446
96	0.4703607576
97	0.4695630076
98	0.4688098077
99	0.4684374261
100	0.4676177704
101	0.4669674655
102	0.4663806598
103	0.4655787867
104	0.4650955736
105	0.4644323091
106	0.4635696115
107	0.4625237625
108	0.4617023343
109	0.4606942266
110	0.4594400154
111	0.4584484219
112	0.4578895673
113	0.4574337967
114	0.4570827973
115	0.45626745
116	0.4550876328
117	0.4546672254
118	0.4538088308
119	0.4529538798
120	0.4521012263
121	0.4514234988
122	0.4503582346
123	0.4497621932
124	0.4491889688
125	0.4485665682
126	0.4478328633
127	0.4472656697
128	0.4464260517
129	0.446135245
130	0.4451237777
131	0.4448491301
132	0.444228225
133	0.4433992002
134	0.4429401581
135	0.4424034607
136	0.4420149615
137	0.4417756529
138	0.4415463121
139	0.4405270465
140	0.4399349059
141	0.4392400491
142	0.4386047104
143	0.4382164805
144	0.4375751277
145	0.4365981717
146	0.4359340639
147	0.435196092
148	0.4349879369
149	0.434662673
150	0.4343776625
151	0.434032316
152	0.433265633
153	0.4319855214
154	0.4311786469
155	0.4305012651
156	0.4297701495
157	0.42888635
158	0.4281205468
159	0.4275439097
160	0.4270468415
161	0.4264712115
162	0.4262116401
163	0.4257503438
164	0.42513989
165	0.4243398778
166	0.4233716982
167	0.4228639302
168	0.4222551846
169	0.4213934677
170	0.4208395095
171	0.4199737161
172	0.4195187786
173	0.4190706965
174	0.4185526871
175	0.4173181336
176	0.4167995087
177	0.4161380862
178	0.4154235281
179	0.4145042918
180	0.4142282235
181	0.4137794428
182	0.4129828928
183	0.412439588
184	0.4116916462
185	0.4110929123
186	0.4105088051
187	0.4098594359
188	0.4094334006
189	0.4087692434
190	0.4083563657
191	0.4074148604
192	0.4070737691
193	0.4065636228
194	0.4060041012
195	0.4051970695
196	0.4046200051
197	0.4041012627
198	0.4036657774
199	0.4031485897
200	0.4027849486
201	0.4022302197
202	0.4018922804
203	0.4013527485
204	0.4008340552
205	0.4003237111
206	0.3996724006
207	0.3989746958
208	0.3983537008
209	0.3977915788
210	0.3973761996
211	0.3968298286
212	0.3961993053
213	0.3958574425
214	0.3950592554
215	0.3946307795
216	0.3942574856
217	0.3939482036
218	0.3935825931
219	0.3930133713
220	0.3922901708
221	0.3918836828
222	0.3913114062
223	0.3910211971
224	0.3907401153
225	0.3901513695
226	0.3898258535
227	0.3893086289
228	0.3887485925
229	0.3884423102
230	0.3878843286
231	0.3875609282
232	0.3871682328
233	0.3867204093
234	0.3863516623
235	0.3858678707
236	0.3855475689
237	0.3854116548
238	0.3848161785
239	0.3840927971
240	0.3839330907
241	0.3833726311
242	0.382900207
243	0.3824000001
244	0.3819318359
245	0.3812912224
246	0.3809113013
247	0.380334601
248	0.3794951863
249	0.3791183905
250	0.3787269731
251	0.3784420645
252	0.378235119
253	0.3778045983
254	0.3772667178
255	0.3769514978
256	0.3763385798
257	0.3757758658
258	0.3752973401
259	0.3746891323
260	0.3742734615
261	0.3737767687
262	0.373453725
263	0.3730493248
264	0.3727663692
265	0.3725019834
266	0.3719456748
267	0.3714950817
268	0.3711643552
269	0.3704416859
270	0.3697604599
271	0.3693461326
272	0.3691270125
273	0.3688209578
274	0.3684092042
275	0.367890877
276	0.3676441123
277	0.3671568529
278	0.3668958711
279	0.3663951859
280	0.3662575579
281	0.3660132235
282	0.3656526476
283	0.365351603
284	0.3650958746
285	0.3646777982
286	0.3641895025
287	0.3640230597
288	0.3637801383
289	0.3634252847
290	0.3630405298
291	0.3625332855
292	0.3621884417
293	0.3617980164
294	0.3614082465
295	0.3610544626
296	0.3605787742
297	0.3601086608
298	0.3597587787
299	0.3591808129
300	0.3588881962
301	0.358488354
302	0.357910544
303	0.3576516303
304	0.3574241212
305	0.3570195865
306	0.356539765
307	0.3562053991
308	0.3559131154
309	0.3555518116
310	0.35518052
311	0.3550022986
312	0.354721478
313	0.3545323989
314	0.3541570192
315	0.3539119323
316	0.3533224276
317	0.3530064652
318	0.3526360571
319	0.3521206996
320	0.3517482693
321	0.3513541829
322	0.3512620815
323	0.3509279648
324	0.3504820966
325	0.3500345021
326	0.3495926954
327	0.3494417968
328	0.3491893445
329	0.3488459352
330	0.3486566801
331	0.3483283988
332	0.3479470936
333	0.347786431
334	0.3475543952
335	0.347152165
336	0.3468222438
337	0.3462662669
338	0.3460033074
339	0.3457284722
340	0.3454720354
341	0.3451030819
342	0.3448056434
343	0.3446391861
344	0.3445176316
345	0.3439794765
346	0.3436836445
347	0.3432820442
348	0.3429308323
349	0.3425113655
350	0.3422468986
351	0.3420191901
352	0.3417177057
353	0.3414865338
354	0.3411863414
355	0.3409630768
356	0.3404741439
357	0.3401913069
358	0.3399045563
359	0.3396622933
360	0.3395699704
361	0.3391847954
362	0.3386872358
363	0.3382993104
364	0.337958022
365	0.3375576155
366	0.3371639313
367	0.3366747482
368	0.3363903294
369	0.3361237091
370	0.3360039697
371	0.3356204851
372	0.3353144501
373	0.3350754469
374	0.3348957035
375	0.3345185544
376	0.3343890945
377	0.334086533
378	0.3338034472
379	0.3332367386
380	0.3328970741
381	0.3325289436
382	0.3321201558
383	0.3317996701
384	0.3315538254
385	0.3313215766
386	0.3311205632
387	0.3309549373
388	0.3305348019
389	0.3302407997
390	0.3299200997
391	0.3296516089
392	0.3294780731
393	0.3292785159
394	0.3290842945
395	0.3289433446
396	0.3286941334
397	0.3283865307
398	0.3281096963
399	0.3278458594
400	0.3276569487
401	0.3273148176
402	0.3269931148
403	0.3268483231
404	0.3266298705
405	0.3263132994
406	0.3260888022
407	0.3256248417
408	0.3253761449
409	0.3249409072
410	0.3246051894
411	0.3243324003
412	0.3241137873
413	0.3237849995
414	0.3233687414
415	0.3230301193
416	0.3228006738
417	0.3224857695
418	0.3223192488
419	0.3220066625
420	0.3218678668
421	0.3214769418
422	0.3211632798
423	0.3209390415
424	0.3206755721
425	0.3205937205
426	0.3201560393
427	0.319851683
428	0.3195107894
429	0.3190576437
430	0.3189180436
431	0.3187311201
432	0.3185548709
433	0.3183700716
434	0.3181437159
435	0.3178617355
436	0.3176387782
437	0.3174752341
438	0.317365777
439	0.3171496018
440	0.3170629071
441	0.3166927809
442	0.3163649227
443	0.3160342261
444	0.3158427066
445	0.3156138064
446	0.3153019953
447	0.3151764858
448	0.3148905358
449	0.3146765684
450	0.3144261122
451	0.3142250353
452	0.3138894484
453	0.3135860583
454	0.3133227875
455	0.3130262821
456	0.3128599564
457	0.3124631487
458	0.3121614974
459	0.3119310414
460	0.3115436123
461	0.3112041105
462	0.3110856698
463	0.3106515583
464	0.3103671933
465	0.3100415657
466	0.3097192817
467	0.3092590053
468	0.3090200785
469	0.3086761194
470	0.3084726265
471	0.30817041
472	0.3080370733
473	0.307841483
474	0.3075568238
475	0.3072474607
476	0.3070574919
477	0.3068328253
478	0.3066130613
479	0.3063476547
480	0.3059719405
481	0.3055411361
482	0.3052929865
483	0.3050047696
484	0.3048236848
485	0.304561559
486	0.3043251242
487	0.3039711726
488	0.3037789875
489	0.3035531922
490	0.3032887483
491	0.3030583472
492	0.3028359282
493	0.3026872208
494	0.3026212503
495	0.3024798512
496	0.3022673696
497	0.3020375619
498	0.3017741436
499	0.3016010292
