iter	Passed	Remaining
0	2	1305
1	4	1209
2	6	1144
3	8	1115
4	11	1099
5	13	1080
6	15	1069
7	17	1062
8	19	1050
9	21	1046
10	23	1039
11	25	1033
12	27	1031
13	29	1028
14	31	1025
15	33	1023
16	35	1019
17	37	1014
18	39	1010
19	41	1006
20	44	1004
21	46	1000
22	47	994
23	49	987
24	51	980
25	53	973
26	55	967
27	57	962
28	59	958
29	60	955
30	62	951
31	64	946
32	66	941
33	68	938
34	70	934
35	72	932
36	74	930
37	76	929
38	78	924
39	80	920
40	81	915
41	83	910
42	85	905
43	86	900
44	88	895
45	90	890
46	91	885
47	93	881
48	95	876
49	96	872
50	98	868
51	100	864
52	102	860
53	103	856
54	105	852
55	107	848
56	108	845
57	110	841
58	112	837
59	113	833
60	115	830
61	117	826
62	118	822
63	120	819
64	121	816
65	123	812
66	125	809
67	126	805
68	128	802
69	130	799
70	131	795
71	133	792
72	135	789
73	136	787
74	138	785
75	140	783
76	142	780
77	143	779
78	145	776
79	147	773
80	149	771
81	151	770
82	153	770
83	155	768
84	156	765
85	158	764
86	160	761
87	162	758
88	163	756
89	165	754
90	167	752
91	169	751
92	171	751
93	174	752
94	176	752
95	178	750
96	180	749
97	182	747
98	183	744
99	185	742
100	187	741
101	189	738
102	191	736
103	192	734
104	194	732
105	196	730
106	198	728
107	200	726
108	202	725
109	204	724
110	206	723
111	208	721
112	210	720
113	212	717
114	213	715
115	215	713
116	217	711
117	219	709
118	221	708
119	223	706
120	224	704
121	226	701
122	228	699
123	230	698
124	231	695
125	233	694
126	235	691
127	237	690
128	239	688
129	241	687
130	243	686
131	245	684
132	247	681
133	249	680
134	250	678
135	253	677
136	255	676
137	257	674
138	258	672
139	260	670
140	262	668
141	264	666
142	266	664
143	268	662
144	270	661
145	271	659
146	273	657
147	275	655
148	277	653
149	279	651
150	280	648
151	282	646
152	284	644
153	285	642
154	287	640
155	289	638
156	291	635
157	292	633
158	294	631
159	296	629
160	297	627
161	299	624
162	301	622
163	302	620
164	304	618
165	306	616
166	308	614
167	309	612
168	311	609
169	313	607
170	314	605
171	316	603
172	318	601
173	319	599
174	321	597
175	323	595
176	325	593
177	326	591
178	328	588
179	330	586
180	331	584
181	333	583
182	335	581
183	337	579
184	338	576
185	340	574
186	342	572
187	343	570
188	345	568
189	347	566
190	348	564
191	350	562
192	352	560
193	353	558
194	355	556
195	357	554
196	359	552
197	360	550
198	362	548
199	364	546
200	365	544
201	367	542
202	369	540
203	371	538
204	372	536
205	374	534
206	376	532
207	377	530
208	379	528
209	381	526
210	383	524
211	384	522
212	386	520
213	388	518
214	389	516
215	391	514
216	393	512
217	395	511
218	396	509
219	398	507
220	400	505
221	402	503
222	403	501
223	405	499
224	407	497
225	409	495
226	410	494
227	412	492
228	414	490
229	416	488
230	418	486
231	419	485
232	421	483
233	423	481
234	425	479
235	427	478
236	429	476
237	430	474
238	432	472
239	434	470
240	436	468
241	438	467
242	439	465
243	441	463
244	443	461
245	445	459
246	447	457
247	448	456
248	450	454
249	452	452
250	453	450
251	455	448
252	457	446
253	459	444
254	460	442
255	462	440
256	464	438
257	465	436
258	467	435
259	469	433
260	471	431
261	473	429
262	474	427
263	476	426
264	478	424
265	480	422
266	481	420
267	483	418
268	485	416
269	486	414
270	488	412
271	490	411
272	492	409
273	493	407
274	495	405
275	497	403
276	498	401
277	500	399
278	502	397
279	504	396
280	505	394
281	507	392
282	509	390
283	510	388
284	512	386
285	514	384
286	515	382
287	517	380
288	519	379
289	520	377
290	522	375
291	524	373
292	525	371
293	527	369
294	529	367
295	530	365
296	532	364
297	534	362
298	536	360
299	538	358
300	539	356
301	541	354
302	543	353
303	544	351
304	546	349
305	548	347
306	549	345
307	551	343
308	553	342
309	555	340
310	557	338
311	558	336
312	560	335
313	562	333
314	564	331
315	566	329
316	568	328
317	570	326
318	572	324
319	574	322
320	575	321
321	577	319
322	579	317
323	581	315
324	582	313
325	584	312
326	586	310
327	588	308
328	590	306
329	591	304
330	593	303
331	595	301
332	597	299
333	598	297
334	600	295
335	602	294
336	604	292
337	606	290
338	608	288
339	610	287
340	611	285
341	613	283
342	615	281
343	617	279
344	618	278
345	620	276
346	622	274
347	624	272
348	626	270
349	627	269
350	629	267
351	631	265
352	633	263
353	634	261
354	636	260
355	638	258
356	640	256
357	642	254
358	643	252
359	645	251
360	647	249
361	649	247
362	650	245
363	652	243
364	654	242
365	657	240
366	659	238
367	661	237
368	662	235
369	664	233
370	666	231
371	668	229
372	670	228
373	672	226
374	674	224
375	675	222
376	677	221
377	679	219
378	681	217
379	683	215
380	685	214
381	687	212
382	689	210
383	691	208
384	693	207
385	695	205
386	697	203
387	699	201
388	701	200
389	703	198
390	705	196
