customer_state,year_week,month,revenue,order_count,population,gdp_per_capita,week_of_year,month_sin,month_cos,week_sin,week_cos,revenue_growth_1w,revenue_growth_4w,revenue_lag_1,revenue_lag_2,revenue_lag_4,revenue_lag_8,revenue_rolling_4,revenue_rolling_8,revenue_rolling_12,target_next_revenue
AC,2017-01-16/2017-01-22,1,2,2,1000000,50000,3,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,0.0,0.0,,,,,,,,1.0
AC,2017-02-06/2017-02-12,2,1,1,1000000,50000,6,0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,-0.5,0.0,2.0,,,,,,,1.0
AC,2017-02-13/2017-02-19,2,1,1,1000000,50000,7,0.8660254037844386,0.5000000000000001,0.7485107481711011,0.6631226582407953,0.0,0.0,1.0,2.0,,,1.5,1.5,1.5,1.0
AC,2017-02-20/2017-02-26,2,1,1,1000000,50000,8,0.8660254037844386,0.5000000000000001,0.8229838658936564,0.5680647467311559,0.0,0.0,1.0,1.0,,,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0
AC,2017-02-27/2017-03-05,3,2,2,1000000,50000,9,1.0,6.123233995736766e-17,0.8854560256532099,0.4647231720437686,1.0,0.0,1.0,1.0,2.0,,1.25,1.25,1.25,2.0
AC,2017-04-03/2017-04-09,4,2,2,1000000,50000,14,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,0.0,1.0,2.0,1.0,1.0,,1.25,1.4,1.4,3.0
AC,2017-04-17/2017-04-23,4,3,3,1000000,50000,16,0.8660254037844387,-0.4999999999999998,0.9350162426854148,-0.35460488704253545,0.5,2.0,2.0,2.0,1.0,,1.5,1.5,1.5,2.0
AC,2017-05-01/2017-05-07,5,2,2,1000000,50000,18,0.49999999999999994,-0.8660254037844387,0.8229838658936565,-0.5680647467311557,-0.33333333333333337,1.0,3.0,2.0,1.0,,2.0,1.7142857142857142,1.7142857142857142,3.0
AC,2017-05-08/2017-05-14,5,3,3,1000000,50000,19,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,0.5,0.5,2.0,3.0,2.0,2.0,2.25,1.75,1.75,2.0
AC,2017-05-22/2017-05-28,5,2,2,1000000,50000,21,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,-0.33333333333333337,0.0,3.0,2.0,2.0,1.0,2.5,1.875,1.8888888888888888,1.0
AC,2017-05-29/2017-06-04,5,1,1,1000000,50000,22,0.49999999999999994,-0.8660254037844387,0.46472317204376906,-0.8854560256532096,-0.5,-0.6666666666666667,2.0,3.0,3.0,1.0,2.5,2.0,1.9,1.0
AC,2017-05-29/2017-06-04,6,1,1,1000000,50000,22,1.2246467991473532e-16,-1.0,0.46472317204376906,-0.8854560256532096,0.0,-0.5,1.0,2.0,2.0,1.0,2.0,2.0,1.8181818181818181,1.0
AC,2017-06-12/2017-06-18,6,1,1,1000000,50000,24,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052,0.0,-0.6666666666666667,1.0,1.0,3.0,2.0,1.75,2.0,1.75,2.0
AC,2017-06-19/2017-06-25,6,2,2,1000000,50000,25,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054,1.0,0.0,1.0,1.0,2.0,2.0,1.25,1.875,1.6666666666666667,1.0
AC,2017-07-03/2017-07-09,7,1,1,1000000,50000,27,-0.4999999999999997,-0.8660254037844388,-0.12053668025532283,-0.992708874098054,-0.5,0.0,2.0,1.0,1.0,3.0,1.25,1.875,1.75,1.0
AC,2017-07-10/2017-07-16,7,1,1,1000000,50000,28,-0.4999999999999997,-0.8660254037844388,-0.23931566428755743,-0.9709418174260521,0.0,0.0,1.0,2.0,1.0,2.0,1.25,1.625,1.75,2.0
