customer_state,year_week_current,predicted_next_week_revenue
SP,2018-08-27/2018-09-02,29197.244287145008
AM,2018-08-27/2018-09-02,48.57258358482056
AC,2018-08-27/2018-09-02,31.637558938214347
PR,2018-08-27/2018-09-02,25.65220135629199
AL,2018-08-27/2018-09-02,24.42729978935801
RJ,2018-08-27/2018-09-02,19.459001300567422
TO,2018-08-27/2018-09-02,17.766681947668175
RO,2018-08-27/2018-09-02,17.133443038474496
SE,2018-08-27/2018-09-02,15.16156563406276
MG,2018-08-27/2018-09-02,12.354361744148767
PA,2018-08-27/2018-09-02,9.39716016170274
RS,2018-08-27/2018-09-02,8.544062699165751
MA,2018-08-27/2018-09-02,8.287025848627154
PI,2018-08-27/2018-09-02,8.107432618248666
AP,2018-08-27/2018-09-02,7.803306253376264
PB,2018-08-27/2018-09-02,7.101886703456024
MS,2018-08-27/2018-09-02,6.989978867727342
MT,2018-08-27/2018-09-02,6.574107031785769
RR,2018-08-27/2018-09-02,6.244539444685977
SC,2018-08-27/2018-09-02,4.8565079397570985
CE,2018-08-27/2018-09-02,4.734477197569091
BA,2018-08-27/2018-09-02,4.45740829870754
PE,2018-08-27/2018-09-02,4.279076908134244
DF,2018-08-27/2018-09-02,4.171248773454653
RN,2018-08-27/2018-09-02,4.0529961688937
GO,2018-08-27/2018-09-02,3.9234305180090385
ES,2018-08-27/2018-09-02,3.4172217320398843
