state,rank,score,brief,full
AM,1,99.99999967411172,API Key missing,API Key missing
PR,2,65.96965674239142,API Key missing,API Key missing
AC,3,62.058937823721394,API Key missing,API Key missing
SE,4,56.042647144529056,API Key missing,API Key missing
MG,5,51.76177394668413,API Key missing,API Key missing
SP,6,51.40236036954465,API Key missing,API Key missing
SC,7,51.16714611524068,API Key missing,API Key missing
TO,8,50.08590977414147,API Key missing,API Key missing
RJ,9,41.00311669828498,API Key missing,API Key missing
GO,10,38.84521270418235,API Key missing,API Key missing
PA,11,38.0558622924166,API Key missing,API Key missing
MT,12,33.33000737145307,API Key missing,API Key missing
DF,13,33.08827068740535,API Key missing,API Key missing
RS,14,30.428393482904337,API Key missing,API Key missing
ES,15,25.587853109346188,API Key missing,API Key missing
BA,16,24.30070601495381,API Key missing,API Key missing
AP,17,22.420230599257582,API Key missing,API Key missing
RO,18,20.366546362566886,API Key missing,API Key missing
MS,19,18.90945206718284,API Key missing,API Key missing
RR,20,17.820460969065437,API Key missing,API Key missing
PE,21,15.824050180144155,API Key missing,API Key missing
AL,22,15.363216931266004,API Key missing,API Key missing
PI,23,9.697722892789155,API Key missing,API Key missing
RN,24,8.98259340071007,API Key missing,API Key missing
MA,25,8.055188773905687,API Key missing,API Key missing
CE,26,1.3728107182818778,API Key missing,API Key missing
PB,27,0.0,API Key missing,API Key missing
