iter	Passed	Remaining
0	5	2749
1	9	2354
2	13	2188
3	16	2098
4	21	2124
5	25	2065
6	28	2036
7	32	2021
8	37	2030
9	41	2010
10	44	1974
11	49	2000
12	54	2026
13	58	2020
14	62	2012
15	65	1992
16	70	1999
17	74	1985
18	78	1980
19	81	1961
20	86	1962
21	89	1949
22	94	1953
23	98	1949
24	102	1945
25	105	1931
26	109	1925
27	113	1918
28	118	1920
29	122	1915
30	126	1907
31	129	1900
32	134	1902
33	138	1892
34	142	1888
35	145	1877
36	149	1871
37	153	1863
38	157	1858
39	160	1848
40	165	1847
41	168	1842
42	172	1838
43	176	1828
44	180	1824
45	184	1818
46	188	1812
47	191	1805
48	195	1797
49	199	1797
50	203	1792
51	207	1789
52	211	1783
53	215	1781
54	219	1775
55	223	1770
56	227	1765
57	232	1768
58	235	1762
59	239	1757
60	243	1750
61	247	1748
62	250	1740
63	255	1738
64	259	1735
65	263	1734
66	267	1727
67	271	1721
68	274	1715
69	278	1713
70	282	1707
71	286	1702
72	290	1697
73	293	1691
74	297	1686
75	301	1682
76	305	1679
77	309	1675
78	313	1671
79	317	1665
80	321	1660
81	325	1657
82	329	1653
83	333	1649
84	337	1645
85	341	1641
86	345	1639
87	349	1634
88	353	1630
89	357	1627
90	361	1622
91	364	1617
92	368	1613
93	372	1610
94	377	1609
95	381	1604
96	384	1599
97	388	1594
98	393	1593
99	397	1590
100	401	1586
101	405	1582
102	409	1579
103	414	1577
104	417	1572
105	422	1568
106	426	1565
107	430	1561
108	433	1555
109	437	1551
110	442	1549
111	445	1544
112	449	1540
113	453	1535
114	457	1532
115	461	1528
116	465	1524
117	469	1518
118	473	1516
119	477	1511
120	481	1507
121	485	1503
122	489	1500
123	493	1497
124	497	1493
125	501	1488
126	505	1484
127	509	1480
128	513	1475
129	516	1469
130	520	1466
131	524	1462
132	528	1457
133	532	1453
134	535	1448
135	539	1445
136	543	1440
137	547	1435
138	552	1434
139	557	1433
140	562	1431
141	567	1431
142	572	1429
143	578	1429
144	596	1461
145	603	1462
146	608	1460
147	613	1459
148	619	1459
149	625	1459
150	631	1459
151	636	1457
152	642	1457
153	648	1456
154	654	1456
155	660	1456
156	665	1453
157	669	1450
158	674	1446
159	678	1442
160	683	1438
161	687	1433
162	691	1429
163	695	1424
164	699	1419
165	703	1415
166	707	1410
167	710	1404
168	715	1400
169	719	1396
170	723	1391
171	727	1387
172	731	1382
173	735	1378
174	739	1373
175	743	1368
176	747	1364
177	751	1359
178	755	1354
179	759	1349
180	763	1345
181	767	1341
182	771	1336
183	775	1332
184	779	1327
185	783	1323
186	788	1318
187	792	1314
188	796	1310
189	800	1306
190	804	1302
191	808	1297
192	813	1293
193	816	1288
194	820	1283
195	824	1278
196	828	1274
197	832	1269
198	836	1264
199	840	1260
200	844	1256
201	848	1251
202	852	1247
203	856	1243
204	861	1239
205	864	1234
206	868	1229
207	872	1225
208	876	1220
209	880	1216
210	884	1211
211	888	1207
212	893	1203
213	897	1199
214	901	1195
215	905	1190
216	909	1186
217	913	1181
218	917	1177
219	921	1172
220	925	1168
221	929	1163
222	933	1159
223	937	1154
224	941	1150
225	945	1146
226	949	1142
227	953	1137
228	958	1133
229	962	1129
230	966	1125
231	970	1120
232	974	1116
233	978	1112
234	982	1107
235	986	1103
236	990	1099
237	994	1094
238	998	1090
239	1002	1085
240	1006	1081
241	1010	1077
242	1014	1073
243	1018	1068
244	1022	1064
245	1026	1059
246	1030	1055
247	1034	1050
248	1038	1046
249	1042	1042
250	1046	1037
251	1050	1033
252	1054	1029
253	1058	1025
254	1063	1021
255	1067	1017
256	1071	1013
257	1075	1008
258	1079	1004
259	1083	999
260	1087	996
261	1091	991
262	1095	987
263	1099	982
264	1103	978
265	1107	974
266	1111	969
267	1115	965
268	1119	961
269	1123	957
270	1127	953
271	1132	948
272	1136	944
273	1140	940
274	1144	936
275	1148	931
276	1152	927
277	1156	923
278	1160	919
279	1165	915
280	1168	911
281	1173	906
282	1177	903
283	1182	899
284	1186	894
285	1190	890
286	1194	886
287	1198	882
288	1202	878
289	1206	873
290	1210	869
291	1215	865
292	1219	861
293	1223	857
294	1227	852
295	1231	848
296	1235	844
297	1239	839
298	1242	835
299	1247	831
300	1251	827
301	1254	822
302	1258	818
303	1262	813
304	1266	809
305	1270	805
306	1274	801
307	1279	797
308	1283	793
309	1287	789
310	1291	784
311	1295	780
312	1299	776
313	1303	772
314	1307	768
315	1312	763
316	1316	759
317	1320	755
318	1324	751
319	1329	747
320	1333	743
321	1337	739
322	1341	734
323	1345	730
324	1349	726
325	1353	722
326	1357	718
327	1361	714
328	1365	709
329	1369	705
330	1373	701
331	1378	697
332	1382	693
333	1386	688
334	1390	684
335	1394	680
336	1398	676
337	1402	672
338	1406	667
339	1410	663
340	1414	659
341	1418	655
342	1422	650
343	1426	646
344	1430	642
345	1433	638
346	1437	634
347	1442	629
348	1445	625
349	1449	621
350	1453	617
351	1458	613
352	1462	608
353	1465	604
354	1469	600
355	1474	596
356	1478	592
357	1481	587
358	1485	583
359	1489	579
360	1493	575
361	1497	570
362	1501	566
363	1505	562
364	1509	558
365	1513	554
366	1517	549
367	1521	545
368	1524	541
369	1529	537
370	1533	533
371	1537	529
372	1541	525
373	1545	520
374	1549	516
375	1553	512
376	1558	508
377	1562	504
378	1566	500
379	1571	496
380	1576	492
381	1580	488
382	1585	484
383	1590	480
384	1596	476
385	1600	472
386	1604	468
387	1608	464
388	1612	460
389	1616	455
390	1620	451
391	1624	447
392	1628	443
393	1632	439
394	1636	435
395	1640	430
396	1644	426
397	1648	422
398	1652	418
399	1656	414
400	1660	409
401	1664	405
402	1668	401
403	1672	397
404	1675	393
405	1679	388
406	1684	384
407	1688	380
408	1692	376
409	1696	372
410	1700	368
411	1705	364
412	1709	360
413	1712	355
414	1717	351
415	1721	347
416	1725	343
417	1729	339
418	1733	335
419	1737	331
420	1741	326
421	1745	322
422	1749	318
423	1753	314
424	1757	310
425	1761	305
426	1766	301
427	1769	297
428	1773	293
429	1778	289
430	1782	285
431	1786	281
432	1790	276
433	1794	272
434	1798	268
435	1803	264
